#,접수번호,접수일자,검체유형_x,시설명,시료명_x,의뢰기관,의뢰자_x,대표자,진행상황,부적합항목수,부적합항목,제조번호,제조일자,유통기한,확인일,의뢰구분,성적서용도,검사목적,검사결과,공문번호,공문의뢰일,문서시행번호,문서시행일,최종승인일,담당팀,담당자,채취방법,채취확인자,업체명,업종,배출시설,의뢰주소,전화번호,이동전화,이메일,채취일자,채취장소_x,처리기간,처리일,수수료,항목수_x,번호,채취장소_y,의뢰자_y,검체유형_y,시료명_y,접수일,항목수_y,폼알데하이드,PM10,PM2.5,CO2,부유세균,라돈,라돈(밀폐),벤젠,톨루엔,에틸벤젠,자일렌,스틸렌,일산화탄소,염화수소,암모니아,시안화수소,페놀화합물,크롬화합물,먼지,구리화합물,질소산화물,수은화합물,카드뮴화합물,황화수소,니켈및그화합물,포름알데히드,불소화합물,아연화합물,매연,비소화합물,유류 중 황함유량,철화합물,트리클로로에틸렌,아크릴로니트릴,"1,2-Dichlorethane",Carbon tetrachloride,테트라클로로에틸렌,클로로포름,황산화물,이황화탄소,총탄화수소,납화합물
,2792400017-01,2024-02-14,실내공기질/실내공기질/나,진접예랑어린이집,로비,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-27,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-2779,2024-02-28,2024-02-27,대기환경팀(B),박하현,,,,,어린이집,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-14,경기 남양주시 진접읍 주곡로 113,12,2024-02-29,0,5,27,경기 남양주시 진접읍 주곡로 113 ,남양주시장,실내공기질/실내공기질/나,로비,02-14,5/5,25.4,13.4,4.5,846.0,187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400017-02,2024-02-14,실내공기질/실내공기질/나,진접예랑어린이집,토성2반,남양주시,남양주시장,,결과승인완료,1,이산화탄소,,,,2024-02-27,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-2779,2024-02-28,2024-02-27,대기환경팀(B),박하현,,,,,어린이집,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-14,경기 남양주시 진접읍 주곡로 113,12,2024-02-29,0,5,28,경기 남양주시 진접읍 주곡로 113 ,남양주시장,실내공기질/실내공기질/나,토성2반,02-14,5/5,20.5,11.9,3.9,952.0,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400018-01,2024-02-15,실내공기질/실내공기질/나,해피아이어린이집,1층 사랑의교실,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-27,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-2779,2024-02-28,2024-02-27,대기환경팀(B),박하현,,,,,어린이집,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-15,경기 남양주시 오남읍 진건오남로550번길 30-7,12,2024-03-04,0,5,29,경기 남양주시 오남읍 진건오남로550번길 30-7 ,남양주시장,실내공기질/실내공기질/나,1층 사랑의교실,02-15,5/5,12.4,16.1,5.4,500.0,417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400018-02,2024-02-15,실내공기질/실내공기질/나,해피아이어린이집,2층 피아노실,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-27,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-2779,2024-02-28,2024-02-27,대기환경팀(B),박하현,,,,,어린이집,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-15,경기 남양주시 오남읍 진건오남로550번길 30-7,12,2024-03-04,0,5,30,경기 남양주시 오남읍 진건오남로550번길 30-7 ,남양주시장,실내공기질/실내공기질/나,2층 피아노실,02-15,5/5,18.3,10.3,7.4,623.0,305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400019-01,2024-02-15,실내공기질/실내공기질/나,밀알성품어린이집,1층 로비,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-27,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-2779,2024-02-28,2024-02-27,대기환경팀(B),박하현,,,,,어린이집,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-15,경기 남양주시 오남읍 진건오남로690번길 41,12,2024-03-04,0,5,31,경기 남양주시 오남읍 진건오남로690번길 41 ,남양주시장,실내공기질/실내공기질/나,1층 로비,02-15,5/5,9.1,8.6,6.6,344.0,244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400019-02,2024-02-15,실내공기질/실내공기질/나,밀알성품어린이집,3층 복도,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-27,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-2779,2024-02-28,2024-02-27,대기환경팀(B),박하현,,,,,어린이집,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-15,경기 남양주시 오남읍 진건오남로690번길 41,12,2024-03-04,0,5,32,경기 남양주시 오남읍 진건오남로690번길 41 ,남양주시장,실내공기질/실내공기질/나,3층 복도,02-15,5/5,11.0,20.9,12.1,594.0,603.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400023-01,2024-02-19,실내공기질/실내공기질/나,구리사랑나눔어린이집,창의반,구리시,구리시장,,결과승인완료,1,이산화탄소,,,,2024-03-04,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-2933,2024-03-04,2024-03-04,대기환경팀(B),김지영,,,,,어린이집,경기도 구리시 아차산로 439,,,,2024-02-19,경기 구리시 갈매순환로 28 (갈매동),12,2024-03-06,0,5,33,경기 구리시 갈매순환로 28 (갈매동),구리시장,실내공기질/실내공기질/나,창의반,02-19,5/5,7.0,30.3,11.9,1059.0,348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400023-02,2024-02-19,실내공기질/실내공기질/나,구리사랑나눔어린이집,맑은반,구리시,구리시장,,결과승인완료,1,총부유세균,,,,2024-03-04,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-2933,2024-03-04,2024-03-04,대기환경팀(B),김지영,,,,,어린이집,경기도 구리시 아차산로 439,,,,2024-02-19,경기 구리시 갈매순환로 28 (갈매동),12,2024-03-06,0,5,34,경기 구리시 갈매순환로 28 (갈매동),구리시장,실내공기질/실내공기질/나,맑은반,02-19,5/5,11.2,25.6,15.6,446.0,1213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400024-01,2024-02-19,실내공기질/실내공기질/나,시립갈매어린이집,유희실,구리시,구리시장,,결과승인완료,0,,,,,2024-03-04,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-2927,2024-03-04,2024-03-04,대기환경팀(B),김지영,,,,,어린이집,경기도 구리시 아차산로 439,,,,2024-02-19,경기 구리시 갈매중앙로 80 (갈매동) 1층,12,2024-03-06,0,5,35,경기 구리시 갈매중앙로 80 (갈매동) 1층,구리시장,실내공기질/실내공기질/나,유희실,02-19,5/5,13.4,14.8,7.9,637.0,324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400024-02,2024-02-19,실내공기질/실내공기질/나,시립갈매어린이집,찬솔반,구리시,구리시장,,결과승인완료,0,,,,,2024-03-04,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-2927,2024-03-04,2024-03-04,대기환경팀(B),김지영,,,,,어린이집,경기도 구리시 아차산로 439,,,,2024-02-19,경기 구리시 갈매중앙로 80 (갈매동) 1층,12,2024-03-06,0,5,36,경기 구리시 갈매중앙로 80 (갈매동) 1층,구리시장,실내공기질/실내공기질/나,찬솔반,02-19,5/5,8.5,14.6,6.9,581.0,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400025-01,2024-02-21,실내공기질/실내공기질/나,구리원진녹색병원,1층 입구(로비),구리시,구리시장,,결과승인완료,0,,,,,2024-03-06,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-3084,2024-03-07,2024-03-06,대기환경팀(B),김지영,,,,,의료기관,경기도 구리시 아차산로 439,,,,2024-02-21,경기 구리시 동구릉로 65 (인창동),12,2024-03-08,0,5,37,경기 구리시 동구릉로 65 (인창동),구리시장,실내공기질/실내공기질/나,1층 입구(로비),02-21,5/5,2.8,10.0,2.5,547.0,343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400025-02,2024-02-21,실내공기질/실내공기질/나,구리원진녹색병원,남 탈의실,구리시,구리시장,,결과승인완료,0,,,,,2024-03-06,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-3084,2024-03-07,2024-03-06,대기환경팀(B),김지영,,,,,의료기관,경기도 구리시 아차산로 439,,,,2024-02-21,경기 구리시 동구릉로 65 (인창동),12,2024-03-08,0,5,38,경기 구리시 동구릉로 65 (인창동),구리시장,실내공기질/실내공기질/나,남 탈의실,02-21,5/5,11.7,14.8,7.5,846.0,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400026-01,2024-02-21,실내공기질/실내공기질/나,구리시립노인전문요양원,2층 복도 앞,구리시,구리시장,,결과승인완료,0,,,,,2024-03-06,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-3084,2024-03-07,2024-03-06,대기환경팀(B),김지영,,,,,노인요양시설,경기도 구리시 아차산로 439,,,,2024-02-21,경기 구리시 동구릉로459번길 211 (갈매동),12,2024-03-08,0,5,39,경기 구리시 동구릉로459번길 211 (갈매동),구리시장,실내공기질/실내공기질/나,2층 복도 앞,02-21,5/5,5.7,13.3,4.6,704.0,267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400026-02,2024-02-21,실내공기질/실내공기질/나,구리시립노인전문요양원,3층 복도 앞,구리시,구리시장,,결과승인완료,0,,,,,2024-03-06,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-3084,2024-03-07,2024-03-06,대기환경팀(B),김지영,,,,,노인요양시설,경기도 구리시 아차산로 439,,,,2024-02-21,경기 구리시 동구릉로459번길 211 (갈매동),12,2024-03-08,0,5,40,경기 구리시 동구릉로459번길 211 (갈매동),구리시장,실내공기질/실내공기질/나,3층 복도 앞,02-21,5/5,9.7,15.6,6.2,820.0,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400027-01,2024-02-26,실내공기질/실내공기질/나,시립화전어린이집,1F 여울꿈터반,고양시,고양시장,,결과승인완료,0,,,,,2024-03-11,관원,,,적합,기후에너지과-4673,2024-01-26,경기도보건환경연구원북부지원-3318,2024-03-11,2024-03-11,대기환경팀(B),김지영,,,,,어린이집,경기 고양시 덕양구 마상로126번길 91 (주교동) 줌시티 3층 기후에너지과,,,,2024-02-26,경기 고양시 덕양구 화랑로 1-1 (화전동),12,2024-03-13,0,5,41,경기 고양시 덕양구 화랑로 1-1 (화전동),고양시장,실내공기질/실내공기질/나,1F 여울꿈터반,02-26,5/5,11.6,15.8,6.3,598.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400027-02,2024-02-26,실내공기질/실내공기질/나,시립화전어린이집,2F 유희실,고양시,고양시장,,결과승인완료,0,,,,,2024-03-11,관원,,,적합,기후에너지과-4673,2024-01-26,경기도보건환경연구원북부지원-3318,2024-03-11,2024-03-11,대기환경팀(B),김지영,,,,,어린이집,경기 고양시 덕양구 마상로126번길 91 (주교동) 줌시티 3층 기후에너지과,,,,2024-02-26,경기 고양시 덕양구 화랑로 1-1 (화전동),12,2024-03-13,0,5,42,경기 고양시 덕양구 화랑로 1-1 (화전동),고양시장,실내공기질/실내공기질/나,2F 유희실,02-26,5/5,6.0,10.2,5.9,808.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400028-01,2024-02-26,실내공기질/실내공기질/나,이화요양원,1F 로비,고양시,고양시장,,결과승인완료,0,,,,,2024-03-11,관원,,,적합,기후에너지과-4673,2024-01-26,경기도보건환경연구원북부지원-3318,2024-03-11,2024-03-11,대기환경팀(B),김지영,,,,,노인요양시설,경기 고양시 덕양구 마상로126번길 91 (주교동) 줌시티 3층 기후에너지과,,,,2024-02-26,경기 고양시 덕양구 용두로47번안길 5-19 (용두동),12,2024-03-13,0,5,43,경기 고양시 덕양구 용두로47번안길 5-19 (용두동),고양시장,실내공기질/실내공기질/나,1F 로비,02-26,5/5,13.0,22.8,18.3,645.0,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400028-02,2024-02-26,실내공기질/실내공기질/나,이화요양원,4F 로비,고양시,고양시장,,결과승인완료,0,,,,,2024-03-11,관원,,,적합,기후에너지과-4673,2024-01-26,경기도보건환경연구원북부지원-3318,2024-03-11,2024-03-11,대기환경팀(B),김지영,,,,,노인요양시설,경기 고양시 덕양구 마상로126번길 91 (주교동) 줌시티 3층 기후에너지과,,,,2024-02-26,경기 고양시 덕양구 용두로47번안길 5-19 (용두동),12,2024-03-13,0,5,44,경기 고양시 덕양구 용두로47번안길 5-19 (용두동),고양시장,실내공기질/실내공기질/나,4F 로비,02-26,5/5,23.4,41.8,30.9,816.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400029-01,2024-02-20,실내공기질/실내공기질/신축공동주택,구리갈매 자족1 지식산업센터(기숙사),201호,구리시,구리시장,,결과승인완료,0,,,,,2024-03-04,관원,,,상기실험확인함,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-2924,2024-03-04,2024-03-04,대기환경팀(B),박하현,,,,,신축공동주택,경기도 구리시 아차산로 439,,,,2024-02-20,경기 구리시 갈매동 545,12,2024-03-07,0,8,45,경기 구리시 갈매동 545 ,구리시장,실내공기질/실내공기질/신축공동주택,201호,02-20,8/8,11.1,,,,,,137.0,불검출,214.5,6.5,42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400029-02,2024-02-20,실내공기질/실내공기질/신축공동주택,구리갈매 자족1 지식산업센터(기숙사),226호,구리시,구리시장,,결과승인완료,0,,,,,2024-03-04,관원,,,상기실험확인함,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-2924,2024-03-04,2024-03-04,대기환경팀(B),박하현,,,,,신축공동주택,경기도 구리시 아차산로 439,,,,2024-02-20,경기 구리시 갈매동 545,12,2024-03-07,0,8,46,경기 구리시 갈매동 545 ,구리시장,실내공기질/실내공기질/신축공동주택,226호,02-20,8/8,16.0,,,,,,50.0,불검출,521.3,24.9,81.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400029-03,2024-02-20,실내공기질/실내공기질/신축공동주택,구리갈매 자족1 지식산업센터(기숙사),602호,구리시,구리시장,,결과승인완료,0,,,,,2024-03-04,관원,,,상기실험확인함,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-2924,2024-03-04,2024-03-04,대기환경팀(B),박하현,,,,,신축공동주택,경기도 구리시 아차산로 439,,,,2024-02-20,경기 구리시 갈매동 545,12,2024-03-07,0,8,47,경기 구리시 갈매동 545 ,구리시장,실내공기질/실내공기질/신축공동주택,602호,02-20,8/8,11.6,,,,,,135.0,불검출,197.4,18.2,60.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400029-04,2024-02-20,실내공기질/실내공기질/신축공동주택,구리갈매 자족1 지식산업센터(기숙사),626호,구리시,구리시장,,결과승인완료,0,,,,,2024-03-04,관원,,,상기실험확인함,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-2924,2024-03-04,2024-03-04,대기환경팀(B),박하현,,,,,신축공동주택,경기도 구리시 아차산로 439,,,,2024-02-20,경기 구리시 갈매동 545,12,2024-03-07,0,8,48,경기 구리시 갈매동 545 ,구리시장,실내공기질/실내공기질/신축공동주택,626호,02-20,8/8,14.8,,,,,,111.0,불검출,446.3,23.2,100.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400029-05,2024-02-20,실내공기질/실내공기질/신축공동주택,구리갈매 자족1 지식산업센터(기숙사),638호,구리시,구리시장,,결과승인완료,0,,,,,2024-03-04,관원,,,상기실험확인함,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-2924,2024-03-04,2024-03-04,대기환경팀(B),박하현,,,,,신축공동주택,경기도 구리시 아차산로 439,,,,2024-02-20,경기 구리시 갈매동 545,12,2024-03-07,0,8,49,경기 구리시 갈매동 545 ,구리시장,실내공기질/실내공기질/신축공동주택,638호,02-20,8/8,11.8,,,,,,41.7,불검출,207.2,7.7,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400029-06,2024-02-20,실내공기질/실내공기질/신축공동주택,구리갈매 자족1 지식산업센터(기숙사),936호,구리시,구리시장,,결과승인완료,0,,,,,2024-03-04,관원,,,상기실험확인함,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-2924,2024-03-04,2024-03-04,대기환경팀(B),박하현,,,,,신축공동주택,경기도 구리시 아차산로 439,,,,2024-02-20,경기 구리시 갈매동 545,12,2024-03-07,0,8,50,경기 구리시 갈매동 545 ,구리시장,실내공기질/실내공기질/신축공동주택,936호,02-20,8/8,15.5,,,,,,89.6,불검출,360.0,27.5,91.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400029-07,2024-02-20,실내공기질/실내공기질/신축공동주택,구리갈매 자족1 지식산업센터(기숙사),954호,구리시,구리시장,,결과승인완료,0,,,,,2024-03-04,관원,,,상기실험확인함,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-2924,2024-03-04,2024-03-04,대기환경팀(B),박하현,,,,,신축공동주택,경기도 구리시 아차산로 439,,,,2024-02-20,경기 구리시 갈매동 545,12,2024-03-07,0,8,51,경기 구리시 갈매동 545 ,구리시장,실내공기질/실내공기질/신축공동주택,954호,02-20,8/8,22.5,,,,,,131.0,불검출,571.1,37.8,121.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400031-01,2024-02-27,실내공기질/실내공기질/나,새찬요양병원,1층 로비,고양시,고양시장,,결과승인완료,0,,,,,2024-03-11,관원,,,적합,기후에너지과-4673,2024-01-26,경기도보건환경연구원북부지원-3318,2024-03-11,2024-03-11,대기환경팀(B),김지영,,,,,의료기관,"경기 고양시 덕양구 마상로126번길 91 , 줌시티 3층 기후에너지과",,,,2024-02-27,경기 고양시 덕양구 토당로67번길 2 (토당동),12,2024-03-14,0,5,54,경기 고양시 덕양구 토당로67번길 2 (토당동),고양시장,실내공기질/실내공기질/나,1층 로비,02-27,5/5,2.7,45.4,8.2,415.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400031-02,2024-02-27,실내공기질/실내공기질/나,새찬요양병원,2층 복도,고양시,고양시장,,결과승인완료,0,,,,,2024-03-11,관원,,,적합,기후에너지과-4673,2024-01-26,경기도보건환경연구원북부지원-3318,2024-03-11,2024-03-11,대기환경팀(B),김지영,,,,,의료기관,"경기 고양시 덕양구 마상로126번길 91 , 줌시티 3층 기후에너지과",,,,2024-02-27,경기 고양시 덕양구 토당로67번길 2 (토당동),12,2024-03-14,0,5,55,경기 고양시 덕양구 토당로67번길 2 (토당동),고양시장,실내공기질/실내공기질/나,2층 복도,02-27,5/5,6.0,53.2,21.6,599.0,426.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
